ticker,company name,short name,industry,description,website,logo,ceo,exchange,market cap,sector,tag 1,tag 2,tag 3 
MOV,Movado Group Inc.,Movado,Retail - Apparel & Specialty,"Movado Group Inc designs, sources, markets and distributes fine watches. Its brands include Coach Watches, Concord, Ebel, ESQ Movado, Scuderia Ferrari Watches, HUGO BOSS Watches, Juicy Couture Watches, Lacoste Watches, Movado, and Tommy Hilfiger Watches.",http://www.movadogroup.com,MOV.png,Efraim Grinberg,New York Stock Exchange,743224904,Consumer Cyclical,Consumer Cyclical,Luxury Goods,Retail - Apparel & Specialty 
CHS,Chico's FAS Inc.,Chico's FAS,Retail - Apparel & Specialty,"Chico's FAS Inc is an apparel retailer of women's private branded clothing and accessories through products through retail stores, catalog and via Internet. The brands include Chico's, White House/Black Market, Soma Intimates, and Boston Proper.",http://www.chicosfas.com,CHS.png,Shelley G. Broader,New York Stock Exchange,739320101,Consumer Cyclical,Consumer Cyclical,Apparel Stores,Retail - Apparel & Specialty 
CONN,Conn's Inc.,Conn's,Retail - Apparel & Specialty,Conn's Inc is a holding company engaged in specialty retail. It is a specialty retailer that offers branded consumer goods and related services and also credit solutions for consumers. The firm operates its business through retail stores and website.,http://www.conns.com,CONN.png,Norman L. Miller,Nasdaq Global Select,661527695,Consumer Cyclical,Consumer Cyclical,Specialty Retail,Retail - Apparel & Specialty 
BOOT,Boot Barn Holdings Inc.,Boot Barn,Retail - Apparel & Specialty,Boot Barn Holdings Inc operates specialty retail stores that sell western and work boots and related apparel and accessories. The Company operates retail locations throughout the U.S. and sells its merchandise via the Internet.,http://www.bootbarn.com,BOOT.png,James G. Conroy,New York Stock Exchange,660654877,Consumer Cyclical,Consumer Cyclical,Apparel Stores,Retail - Apparel & Specialty 
TLRD,Tailored Brands Inc.,Tailored Brands,Retail - Apparel & Specialty,Tailored Brands Inc is a retailer of men's suits and a provider of tuxedo rental product in the United States and Canada.,http://www.tailoredbrands.com,TLRD.png,,New York Stock Exchange,643230919,Consumer Cyclical,Consumer Cyclical,Apparel Stores,Retail - Apparel & Specialty 
WINA,Winmark Corporation,Winmark,Retail - Apparel & Specialty,"Winmark Corp is a franchisor of retail store concepts that buy, sell, trade and consign merchandise. Additionally, it operates a small-ticket financing business.",http://www.winmarkcorporation.com,WINA.png,Brett D. Heffes,NASDAQ Global Market,615921772,Consumer Cyclical,Consumer Cyclical,Specialty Retail,Retail - Apparel & Specialty 
ZUMZ,Zumiez Inc.,Zumiez,Retail - Apparel & Specialty,"Zumiez Inc is a multi-channel specialty retailer. It is engaged in the retail sales of apparel, footwear, accessories and hardgoods for young men and women.",http://www.zumiez.com,ZUMZ.png,Richard M. Brooks,Nasdaq Global Select,615036827,Consumer Cyclical,Consumer Cyclical,Specialty Retail,Retail - Apparel & Specialty 
OSTK,Overstock.com Inc.,Overstock.com,Retail - Apparel & Specialty,"Overstock.com Inc is an online retailer which provides products and services through websites. It offers a broad range of products, including furniture and home decor, apparel and accessories, books, electronics, and other items.",http://www.overstock.com,,Patrick M. Byrne,NASDAQ Global Market,602738719,Consumer Cyclical,Consumer Cyclical,Specialty Retail,Retail - Apparel & Specialty 
LE,Lands' End Inc.,Lands' End,Retail - Apparel & Specialty,"Lands' End Inc is a multi-channel retailer of casual clothing, accessories and footwear, as well as home products. The Company offers products through catalogs, landsend.com, and operates in two segments; Direct and Retail.",http://www.landsend.com,LE.png,Jerome Griffith,NASDAQ Capital Market,576910490,Consumer Cyclical,Consumer Cyclical,Specialty Retail,Retail - Apparel & Specialty 
SCVL,Shoe Carnival Inc.,Shoe Carnival,Retail - Apparel & Specialty,"Shoe Carnival Inc is a family footwear retailer that offers a range of moderately priced dress, casual and athletic footwear for men, women and children. Its store has several brands; Nike and Skechers contributing the majority portion.",http://www.shoecarnival.com,SCVL.png,Clifton E. Sifford,Nasdaq Global Select,559106757,Consumer Cyclical,Consumer Cyclical,Apparel Stores,Retail - Apparel & Specialty 
ASNA,Ascena Retail Group Inc.,Ascena Retail,Retail - Apparel & Specialty,"Ascena Retail Group Inc, through its subsidiaries, operates as a specialty retailer of apparel for women and tween girls and boys. The Company offers apparel, accessories, footwear, and lifestyle products, such as bedroom furnishings and electronics.",http://www.ascenaretail.com,,David R. Jaffe,Nasdaq Global Select,505439122,Consumer Cyclical,Consumer Cyclical,Apparel Stores,Retail - Apparel & Specialty 
SECO,Secoo Holding Limited,Secoo Holding Limited,Retail - Apparel & Specialty,"Secoo Holding Ltd operates Online-Offline shopping platform in China. It operates as an online retailer in China, with website secoo.com, mobile APP and SECOO experience centers.",http://www.secoo.com,,Richard Rixue Li,NASDAQ Global Market,434111599,Consumer Cyclical,Consumer Cyclical,Specialty Retail,Retail - Apparel & Specialty 
BKS,Barnes & Noble Inc.,Barnes & Noble,Retail - Apparel & Specialty,"Barnes & Noble Inc is a bookseller, content, and a commerce company providing customers access to trade books, textbooks, magazines, newspapers and other content across its multi-channel distribution platform. Its segments are B&N Retail and NOOK.",http://www.barnesandnobleinc.com,BKS.png,Demos Parneros,New York Stock Exchange,427894381,Consumer Cyclical,Consumer Cyclical,Specialty Retail,Retail - Apparel & Specialty 
