ticker,company name,short name,industry,description,website,logo,ceo,exchange,market cap,sector,tag 1,tag 2,tag 3 
PM,Philip Morris International Inc,Philip Morris International,Tobacco Products,Philip Morris International Inc is a holding company. It manufactures and sells cigarettes and other tobacco products in markets outside the United States of America.,http://www.pmi.com,PM.png,Andre Calantzopoulos,New York Stock Exchange,1.18E+11,Consumer Defensive,Consumer Defensive,Tobacco,Tobacco Products 
MO,Altria Group Inc.,Altria,Tobacco Products,"Altria Group Inc along with its subsidiaries is engaged in the manufacture and sale of cigarettes, machine-made large cigars, pipe tobacco, smokeless tobacco products and wine.",http://www.altria.com,MO.png,Howard A. Willard,New York Stock Exchange,91538343228,Consumer Defensive,Consumer Defensive,Tobacco,Tobacco Products 
BTI,British American Tobacco Industries p.l.c. ADR,British American Tobacco Industries p.l.c.,Tobacco Products,"British American Tobacco PLC manufactures and sells cigarettes and other tobacco products under the brands Dunhill, Kent, Lucky Strike, Pall Mall and Rothmans. It also offers Vapour Products, like e-cigarettes, and Tobacco Heating Products.",http://www.bat.com,BTI.png,,New York Stock Exchange,80671909962,Consumer Defensive,Consumer Defensive,Tobacco,Tobacco Products 
VGR,Vector Group Ltd.,Vector,Tobacco Products,"Vector Group Ltd, through its subsidiaries, is engaged in the manufacture and sale of cigarettes in the United States and the real estate business. Its business segment includes: Tobacco, E-Cigarettes and Real Estate.",http://www.vectorgroupltd.com,VGR.png,Howard M. Lorber,New York Stock Exchange,1564152526,Consumer Defensive,Consumer Defensive,Tobacco,Tobacco Products 
UVV,Universal Corporation,Universal,Tobacco Products,Universal Corp is a leaf tobacco supplier. It is engaged in procuring and processing flue-cured and burley leaf tobacco for manufacturers of consumer tobacco products.,http://www.universalcorp.com,,George C. Freeman,New York Stock Exchange,1402996816,Consumer Defensive,Consumer Defensive,Tobacco,Tobacco Products 
TPB,Turning Point Brands Inc.,Turning Point Brands,Tobacco Products,"Turning Point Brands Inc is engaged in providing tobacco products in the U.S. It sells products including moist snuff, loose leaf chewing tobacco, cigarette papers, make- your-own cigar wraps & cigar smoking tobacco, cigars & tobacco vaporizer products.",http://www.turningpointbrands.com,,Lawrence S. Wexler,New York Stock Exchange,711008077,Consumer Defensive,Consumer Defensive,Tobacco,Tobacco Products 
SDI,Standard Diversified Inc. Class A,Standard Diversified,Tobacco Products,"Standard Diversified Inc along with its subsidiaries is engaged in tobacco products, Outdoor advertising, and Insurance lines of business.",http://www.standarddiversified.com,SDI.png,Philip T. Blazek,NYSE American,251705943,Consumer Defensive,Consumer Defensive,Tobacco,Tobacco Products 
PYX,Pyxus International Inc.,Pyxus International,Tobacco Products,"Alliance One International Inc is engaged in purchasing, processing, packaging, storing and shipping of leaf tobacco and other consumer tobacco products.",http://www.aointl.com,,J. Pieter Sikkel,New York Stock Exchange,151452868,Consumer Defensive,Consumer Defensive,Tobacco,Tobacco Products 
