ticker,company name,short name,industry,description,website,logo,ceo,exchange,market cap,sector,tag 1,tag 2,tag 3 
TWNK,Hostess Brands Inc.,Hostess Brands,Consumer Packaged Goods,"Hostess Brands Inc is a packaged food company. The Company is engaged in developing, manufacturing, marketing, selling and distributing fresh baked sweet goods in the United States.",http://www.hostessbrands.com,TWNK.png,Andrew P. Callahan,NASDAQ Capital Market,1479435318,Consumer Defensive,Consumer Defensive,Packaged Foods,Consumer Packaged Goods 
CVGW,Calavo Growers Inc.,Calavo Growers,Consumer Packaged Goods,"Calavo Growers Inc is in the avocado industry and an expanding provider of value-added fresh food. It sells avocados to a group of supermarket chains, wholesalers, food service and other distributors, under brand labels, as well as private labels.",http://www.calavo.com,CVGW.png,Lecil E. Cole,Nasdaq Global Select,1396750898,Consumer Defensive,Consumer Defensive,Farm Products,Consumer Packaged Goods 
REV,Revlon Inc.,Revlon,Consumer Packaged Goods,"Revlon Inc is a cosmetics company. It manufactures and sells cosmetics, hair color, beauty tools, fragrances, skincare, deodorants and personal care products.",http://www.revlon.com,REV.png,Debra G. Perelman,New York Stock Exchange,1365197445,Consumer Defensive,Consumer Defensive,Household & Personal Products,Consumer Packaged Goods 
TR,Tootsie Roll Industries Inc.,Tootsie Roll Industries,Consumer Packaged Goods,Tootsie Roll Industries Inc manufactures and sells confectionery products. Its manufacturing operations are located in the United States and Canada.,http://www.tootsie.com,TR.png,Ellen R. Gordon,New York Stock Exchange,1350955985,Consumer Defensive,Consumer Defensive,Confectioners,Consumer Packaged Goods 
FRPT,Freshpet Inc.,Freshpet,Consumer Packaged Goods,Freshpet Inc manufactures and markets refrigerated meals and treats for dogs and cats. The company's products are distributed throughout the United States and Canada into retail classes including Grocery and Mass.,http://www.freshpet.com,FRPT.png,William B. Cyr,NASDAQ Global Market,1284291748,Consumer Defensive,Consumer Defensive,Packaged Foods,Consumer Packaged Goods 
MGPI,MGP Ingredients Inc.,MGP Ingredients,Consumer Packaged Goods,"MGP Ingredients Inc through its subsidiaries is engaged in producing distillery products derived from corn & other feedstock including rye, barley, barley malt and milo; and ingredient products derived from wheat flour to serve packaged goods industry.",http://www.mgpingredients.com,,Augustus Griffin,Nasdaq Global Select,1204559344,Consumer Defensive,Consumer Defensive,Packaged Foods,Consumer Packaged Goods 
AVP,Avon Products Inc.,Avon Products,Consumer Packaged Goods,"Avon Products Inc is involved in the household products market. It lays emphasis on manufacturing beauty products including skincare, fragrance, personal care and hair care. The company owns brands such as ANEW, Avon Color and Avon Care.",http://www.avoncompany.com,AVP.png,Jan Zijderveld,New York Stock Exchange,1167830804,Consumer Defensive,Consumer Defensive,Household & Personal Products,Consumer Packaged Goods 
CRESY,Cresud S.A.C.I.F. y A. American Depositary Shares each representing ten shares of Common Stock,Cresud S.A.C.I.F. y A. American Depositary Shares each representing ten shares of Common Stock,Consumer Packaged Goods,"Cresud SACIF y A is an Argentinean agricultural land development company and its primary activities include the acquisition development, and sale of land. The company also produces agricultural commodities, such as crops, beef, and milk.",http://www.cresud.com.ar,CRESY.png,Alejandro Gustavo Elsztain,Nasdaq Global Select,995301668,Consumer Defensive,Consumer Defensive,Farm Products,Consumer Packaged Goods 
AGRO,Adecoagro S.A.,Adecoagro S.A.,Consumer Packaged Goods,"Adecoagro SA is an agricultural company in South America, with operations in Argentina, Brazil and Uruguay. It is engaged in farming crops and other agricultural products, dairy operations, sugar, ethanol and energy production and land transformation.",http://www.adecoagro.com,AGRO.png,Mariano Bosch,New York Stock Exchange,866005374,Consumer Defensive,Consumer Defensive,Farm Products,Consumer Packaged Goods 
JBSS,John B. Sanfilippo & Son Inc.,John B. Sanfilippo & Son,Consumer Packaged Goods,"John B Sanfilippo & Son Inc is a processor and distributor of peanuts, pecans, cashews, walnuts, almonds and other nuts in the United States. It also markets and distributes a diverse product line of food and snack products.",http://www.jbssinc.com,JBSS.png,Jeffrey T. Sanfilippo,Nasdaq Global Select,773616474,Consumer Defensive,Consumer Defensive,Packaged Foods,Consumer Packaged Goods 
