ticker,company name,short name,industry,description,website,logo,ceo,exchange,market cap,sector,tag 1,tag 2,tag 3 
PCAR,PACCAR Inc.,PACCAR,Truck Manufacturing,"PACCAR Inc manufactures and sells light, medium and heavy-duty trucks and parts under the Kenworth, Peterbilt and DAF brands. It also designs and manufactures advanced diesel engines and provides financial and information technology services.",http://www.paccar.com,PCAR.png,Ronald E. Armstrong,Nasdaq Global Select,22594854000,Industrials,Industrials,Truck Manufacturing, 
OSK,Oshkosh Corporation (Holding Company)Common Stock,Oshkosh (Holding Company)Common Stock,Truck Manufacturing,"Oshkosh Corp designs, manufactures and markets specialty vehicles and aerial work platforms under the JLG brand. It serves customers in the private and public sectors.",http://www.oshkoshcorporation.com,OSK.png,William R. Jones,New York Stock Exchange,5309537889,Industrials,Industrials,Truck Manufacturing, 
NAV,Navistar International Corporation,Navistar International,Truck Manufacturing,"Navistar International Corp is a holding company whose individual units provide integrated and best in class transportation solutions. It also provides retail, wholesale and lease financing services for trucks and parts.",http://www.navistar.com,NAV.png,Troy A. Clarke,New York Stock Exchange,3409208333,Industrials,Industrials,Truck Manufacturing, 
HY,Hyster-Yale Materials Handling Inc. Class A,Hyster-Yale Materials Handling,Truck Manufacturing,"Hyster-Yale Materials Handling Inc designs, engineers, manufactures, sells, and services a line of lift trucks, attachments, and aftermarket parts. It also manufactures components, such as frames, masts, and transmissions.",http://www.hyster-yale.com,HY.png,Alfred M. Rankin,New York Stock Exchange,1171174260,Industrials,Industrials,Truck Manufacturing, 
WNC,Wabash National Corporation,Wabash National,Truck Manufacturing,"Wabash National Corp is a diversified industrial manufacturer and producer of semi-trailers and liquid transportation systems. It designs, manufactures and markets various types of trailers, dry and refrigerated truck bodies, among others.",http://www.wabashnational.com,WNC.png,Brent L. Yeagy,New York Stock Exchange,793679668,Industrials,Industrials,Truck Manufacturing, 
SPAR,Spartan Motors Inc.,Spartan Motors,Truck Manufacturing,"Spartan Motors Inc is a market engineer and manufacturer in the heavy-duty, custom vehicles marketplace. It operates in three segments Emergency Response Vehicles, Delivery and Service Vehicles, and Specialty Chassis and Vehicles.",http://www.spartanmotors.com,SPAR.png,Daryl M. Adams,Nasdaq Global Select,295822616,Industrials,Industrials,Truck Manufacturing, 
